issn_impreso,issn_linea,nombre_revista,anio_vigencia,categoria
0120-0976,,Revista Interamericana De Bibliotecología,2018,B
2382-5014,,Revista Internacional De Cooperación Y Desarrollo,2018,C
0120-3649,,Theologica Xaveriana,2018,B
2145-6097,,Revista De Investigacion Agraria Ambiental,2018,C
0120-338X,2256-5469,Forma Y Función,2022,C
0121-1617,1900-6152,Historia Crítica,2022,A1
0120-4645,,Cuadernos De Administración,2018,B
0370-3908,,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2015,A2
0122-1213,,Prospectiva,2015,B
0121-2494,2500-6436,Pedagogía Y Saberes,2021,C
0120-2510,,Boletín De Antropología,2016,B
1794-8290,,Cuadernos De Literatura Del Caribe E Hispanoamérica,2016,A2
1794-3108,,Revista Criminalidad,2016,B
0123-3734,,Sotavento Mba,2016,C
0122-8706,,Revista Corpoica,2017,C
1657-3498,,Revista Institucional De La Universidad Tecnológica Del Chocó,2016,C
0120-2510,,Boletín De Antropología,2019,C
0486-6525,,Revista Colombiana De Antropología,2016,A2
2145-549X,,Revista Logos Ciencia 6& Tecnologia,2020,B
0124-2253,,Revista Científica,2019,C
0122-011X,,"Literatura : Teoría, Historia, Crítica",2010,C
0120-3347,,Revista Colombiana De Anestesiología,2018,B
0121-0777,,El Hombre Y La Máquina,2010,C
1900-6608,,Publicaciones E Investigación,2010,C
0124-6542,,Modulo Arquitectura- Cuc,2016,C
1909-9851,,Puente Revista Científica,2015,C
,2145-0366,Aletheia,2021,C
0120-9965,,Agronomía Colombiana,2014,A2
2422-4200,2422-4200,Revista Logos Ciencia & Tecnología,2022,C
